#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-06-06 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,0.99775,0.079875
0.0,0.9975,0.079875
0.0,0.997625,0.07975
0.0,0.9975,0.079625
0.0,0.997625,0.079875
0.0,0.997875,0.079875
0.0,0.998,0.079875
0.0,0.997875,0.07975
0.0,0.997875,0.07975
0.0,0.998125,0.07975
0.0,0.998,0.079625
0.0,0.99775,0.079375
0.0,0.997875,0.079375
0.0,0.997875,0.079625
0.0,0.99775,0.079625
0.0,0.998,0.079375
0.0,0.99775,0.079625
0.0,0.997875,0.07975
0.0,0.997875,0.079875
0.0,0.997625,0.07975
0.0,0.997375,0.07975
0.0,0.998,0.079875
0.0,0.99825,0.07975
0.0,0.998,0.079875
0.0,0.998,0.079625
0.0,0.99775,0.079625
0.0,0.99775,0.079625
0.0,0.997625,0.0795
0.0,0.997875,0.0795
0.0,0.998125,0.079375
0.0,0.9985,0.079625
0.0,0.998125,0.079625
0.0,0.99725,0.0795
0.0,0.997375,0.07975
0.0,0.99775,0.079875
0.0,0.998,0.079875
0.0,0.997875,0.08
0.0,0.99775,0.079625
0.0,0.99775,0.07975
0.0,0.99775,0.07975
0.0,0.99775,0.079625
0.0,0.99775,0.079625
0.0,0.998125,0.079625
0.0,0.998,0.0795
0.0,0.998,0.079375
0.0,0.998125,0.0795
0.0,0.99825,0.079625
0.0,0.99825,0.079625
0.0,0.998,0.0795
0.0,0.997875,0.0795
0.0,0.997875,0.079625
0.0,0.997625,0.07975
0.0,0.998125,0.07975
0.0,0.997625,0.079625
0.0,0.997375,0.079625
0.0,0.998,0.0795
0.0,0.99775,0.079875
0.0,0.99775,0.079875
0.0,0.99775,0.07975
0.0,0.997875,0.079625
0.0,0.99775,0.079625
0.0,0.9975,0.0795
0.0,0.997875,0.079625
0.0,0.998125,0.079625
0.0,0.997875,0.0795
0.0,0.99775,0.079625
0.0,0.997375,0.0795
0.0,0.99775,0.07975
0.0,0.998,0.07975
0.0,0.99775,0.07975
0.0,0.997625,0.07975
0.0,0.99725,0.07975
0.0,0.9975,0.079625
0.0,0.9975,0.079625
0.0,0.998125,0.079875
0.0,0.997875,0.07975
0.0,0.998125,0.079625
0.0,0.998,0.079375
0.0,0.997875,0.0795
0.0,0.998125,0.0795
0.0,0.998,0.079625
0.0,0.997375,0.0795
0.0,0.997375,0.079625
0.0,0.997375,0.079875
0.0,0.997625,0.079625
0.0,0.997625,0.07975
0.0,0.99725,0.079625
0.0,0.997625,0.079625
0.0,0.998,0.079875
0.0,0.998,0.079875
0.0,0.997875,0.08
0.0,0.99775,0.079875
0.0,0.997875,0.0795
0.0,0.9975,0.0795
0.0,0.99775,0.0795
0.0,0.998125,0.07975
0.0,0.998125,0.079625
0.0,0.997875,0.0795
0.0,0.99775,0.079625
0.0,0.99775,0.079625
0.0,0.9975,0.079625
0.0,0.997375,0.079625
0.0,0.9975,0.07975
0.0,0.99775,0.079625
0.0,0.99775,0.079625
0.0,0.99775,0.079625
0.0,0.998,0.07975
0.0,0.998375,0.079875
0.0,0.997875,0.079875
0.0,0.99775,0.07975
0.0,0.99775,0.079375
0.0,0.99775,0.079375
0.0,0.998125,0.07975
0.0,0.99825,0.079625
0.0,0.99775,0.0795
0.0,0.997375,0.079625
