#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-02-22 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 3.285
# cycles  : 1
# step    : 1.0
# samples : 169
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
3.285     1.994625  0.94475   2024-02-22T16:39:34.370214
3.285     1.994625  0.94475   2024-02-22T16:39:34.370214
3.285     1.99425   0.944625  2024-02-22T16:39:34.370214
3.285     1.99375   0.944875  2024-02-22T16:39:34.370214
3.285     1.99325   0.945125  2024-02-22T16:39:34.370214
3.285     1.992875  0.945125  2024-02-22T16:39:34.370214
3.285     1.993     0.94525   2024-02-22T16:39:34.370214
3.285     1.99325   0.945375  2024-02-22T16:39:34.370214
3.285     1.993     0.945125  2024-02-22T16:39:34.370214
3.285     1.9925    0.945125  2024-02-22T16:39:34.370214
3.285     1.99275   0.94525   2024-02-22T16:39:34.370214
3.285     1.99375   0.9455    2024-02-22T16:39:34.370214
3.285     1.993875  0.9455    2024-02-22T16:39:34.370214
3.285     1.993875  0.94525   2024-02-22T16:39:34.370214
3.285     1.993625  0.945     2024-02-22T16:39:34.370214
3.285     1.993875  0.94475   2024-02-22T16:39:34.370214
3.285     1.99425   0.945     2024-02-22T16:39:34.370214
3.285     1.994375  0.944875  2024-02-22T16:39:34.370214
3.285     1.994375  0.944625  2024-02-22T16:39:34.370214
3.285     1.99425   0.9445    2024-02-22T16:39:34.370214
3.285     1.994     0.944875  2024-02-22T16:39:34.370214
3.285     1.9935    0.945     2024-02-22T16:39:34.370214
3.285     1.993125  0.945     2024-02-22T16:39:34.370214
3.285     1.9935    0.945125  2024-02-22T16:39:34.370214
3.285     1.993375  0.945125  2024-02-22T16:39:34.370214
3.285     1.99275   0.945125  2024-02-22T16:39:34.370214
