#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-04-22 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
# HWP     : 0
# cycles  : 1
# step    : 1
# samples : 169
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE     CH0       CH1       DATETIME
0.0       None      2.153125  2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.153     2024-04-22T20:00:42.601264
0.0       None      2.1535    2024-04-22T20:00:42.601264
0.0       None      2.153625  2024-04-22T20:00:42.601264
0.0       None      2.153375  2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.152125  2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.153     2024-04-22T20:00:42.601264
0.0       None      2.153375  2024-04-22T20:00:42.601264
0.0       None      2.1535    2024-04-22T20:00:42.601264
0.0       None      2.153125  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.15225   2024-04-22T20:00:42.601264
0.0       None      2.15175   2024-04-22T20:00:42.601264
0.0       None      2.15225   2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.153     2024-04-22T20:00:42.601264
0.0       None      2.1535    2024-04-22T20:00:42.601264
0.0       None      2.153375  2024-04-22T20:00:42.601264
0.0       None      2.153125  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.15225   2024-04-22T20:00:42.601264
0.0       None      2.151875  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.153     2024-04-22T20:00:42.601264
0.0       None      2.1535    2024-04-22T20:00:42.601264
0.0       None      2.153625  2024-04-22T20:00:42.601264
0.0       None      2.153375  2024-04-22T20:00:42.601264
0.0       None      2.153     2024-04-22T20:00:42.601264
0.0       None      2.15225   2024-04-22T20:00:42.601264
0.0       None      2.15225   2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.152125  2024-04-22T20:00:42.601264
0.0       None      2.152125  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.153     2024-04-22T20:00:42.601264
0.0       None      2.153375  2024-04-22T20:00:42.601264
0.0       None      2.1535    2024-04-22T20:00:42.601264
0.0       None      2.15325   2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.15225   2024-04-22T20:00:42.601264
0.0       None      2.15225   2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.1525    2024-04-22T20:00:42.601264
0.0       None      2.152     2024-04-22T20:00:42.601264
0.0       None      2.152     2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
0.0       None      2.15325   2024-04-22T20:00:42.601264
0.0       None      2.1535    2024-04-22T20:00:42.601264
0.0       None      2.1535    2024-04-22T20:00:42.601264
0.0       None      2.153     2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152625  2024-04-22T20:00:42.601264
0.0       None      2.152375  2024-04-22T20:00:42.601264
0.0       None      2.15225   2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.153125  2024-04-22T20:00:42.601264
0.0       None      2.15275   2024-04-22T20:00:42.601264
0.0       None      2.152875  2024-04-22T20:00:42.601264
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.188625  2024-04-22T20:00:44.553120
1.0       None      2.188625  2024-04-22T20:00:44.553120
1.0       None      2.18825   2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.18725   2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.18825   2024-04-22T20:00:44.553120
1.0       None      2.18875   2024-04-22T20:00:44.553120
1.0       None      2.18875   2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.187375  2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.187375  2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.18875   2024-04-22T20:00:44.553120
1.0       None      2.188875  2024-04-22T20:00:44.553120
1.0       None      2.188625  2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.18725   2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.18825   2024-04-22T20:00:44.553120
1.0       None      2.188875  2024-04-22T20:00:44.553120
1.0       None      2.188625  2024-04-22T20:00:44.553120
1.0       None      2.18825   2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.18725   2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.18825   2024-04-22T20:00:44.553120
1.0       None      2.18875   2024-04-22T20:00:44.553120
1.0       None      2.188625  2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.1875    2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
1.0       None      2.187375  2024-04-22T20:00:44.553120
1.0       None      2.187375  2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.18825   2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.188     2024-04-22T20:00:44.553120
1.0       None      2.188625  2024-04-22T20:00:44.553120
1.0       None      2.189125  2024-04-22T20:00:44.553120
1.0       None      2.188875  2024-04-22T20:00:44.553120
1.0       None      2.188125  2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.187625  2024-04-22T20:00:44.553120
1.0       None      2.187875  2024-04-22T20:00:44.553120
1.0       None      2.18775   2024-04-22T20:00:44.553120
