ANGLE,CH0,CH1
0.0,1.26,0.214875
0.0,1.260375,0.214875
0.0,1.26,0.215
0.0,1.259875,0.21475
0.0,1.260125,0.21475
0.0,1.26025,0.21475
0.0,1.260625,0.214625
0.0,1.2605,0.21475
0.0,1.2605,0.21475
0.0,1.2605,0.214875
0.0,1.260375,0.21475
0.0,1.26,0.215
0.0,1.259875,0.214875
0.0,1.259625,0.21475
0.0,1.259875,0.214875
0.0,1.25975,0.214875
0.0,1.259625,0.215
0.0,1.259875,0.215
0.0,1.260125,0.215
0.0,1.26025,0.215
0.0,1.26,0.214875
0.0,1.260125,0.21475
0.0,1.260125,0.214875
0.0,1.260125,0.214875
0.0,1.26025,0.21475
0.0,1.26025,0.21475
0.0,1.26025,0.21475
0.0,1.260125,0.214875
0.0,1.2595,0.214875
0.0,1.2595,0.214875
0.0,1.260125,0.215
0.0,1.26025,0.215
0.0,1.259875,0.215
0.0,1.26,0.215
0.0,1.260375,0.215
0.0,1.260125,0.215
0.0,1.26,0.215125
0.0,1.25975,0.214875
0.0,1.259875,0.21475
0.0,1.259875,0.214875
0.0,1.260125,0.214875
0.0,1.260125,0.214875
0.0,1.260375,0.214625
0.0,1.2605,0.21475
0.0,1.26,0.214875
0.0,1.259875,0.214875
0.0,1.26,0.214625
0.0,1.259875,0.214875
0.0,1.25975,0.215
0.0,1.259625,0.215125
0.0,1.259875,0.215
0.0,1.26025,0.215
0.0,1.26025,0.214875
0.0,1.26025,0.21475
0.0,1.260125,0.21475
0.0,1.259875,0.21475
0.0,1.26,0.21475
0.0,1.2605,0.21475
0.0,1.2605,0.21475
0.0,1.2605,0.21475
0.0,1.26025,0.214875
0.0,1.259875,0.215
0.0,1.259625,0.215
0.0,1.25975,0.21475
0.0,1.26,0.214875
0.0,1.259875,0.21475
0.0,1.259625,0.21475
0.0,1.25975,0.214875
0.0,1.259875,0.215
0.0,1.260125,0.21475
0.0,1.260375,0.21475
0.0,1.26025,0.214875
0.0,1.26,0.21475
0.0,1.260375,0.21475
0.0,1.260375,0.21475
0.0,1.260375,0.214625
0.0,1.260375,0.214875
0.0,1.260375,0.215
0.0,1.259875,0.215
0.0,1.25975,0.214875
0.0,1.2595,0.214875
0.0,1.2595,0.215
0.0,1.259875,0.215
0.0,1.259875,0.215
0.0,1.259875,0.214875
0.0,1.26,0.214875
0.0,1.26,0.21475
0.0,1.260125,0.21475
0.0,1.259875,0.21475
0.0,1.260125,0.21475
0.0,1.260125,0.21475
0.0,1.2605,0.214875
0.0,1.26025,0.214875
0.0,1.26,0.214875
0.0,1.26,0.215
0.0,1.259875,0.215
0.0,1.259875,0.215
0.0,1.259875,0.214875
0.0,1.259875,0.21475
0.0,1.2595,0.214875
0.0,1.25975,0.215
0.0,1.26,0.215
0.0,1.260125,0.214875
0.0,1.260125,0.214625
0.0,1.260125,0.21475
0.0,1.26025,0.214875
0.0,1.26025,0.21475
0.0,1.26025,0.21475
0.0,1.260375,0.214875
0.0,1.260625,0.215
0.0,1.260375,0.214875
0.0,1.259875,0.215
0.0,1.26,0.215
0.0,1.259875,0.215
0.0,1.25975,0.215
0.0,1.259375,0.215
0.0,1.259375,0.214875
0.0,1.25975,0.214875
0.0,1.26,0.214875
0.0,1.259875,0.215
0.0,1.260125,0.214875
0.0,1.260375,0.21475
0.0,1.26025,0.21475
0.0,1.26025,0.21475
0.0,1.26025,0.21475
0.0,1.2605,0.21475
0.0,1.260125,0.21475
0.0,1.26,0.21475
0.0,1.25975,0.214875
0.0,1.259875,0.214875
0.0,1.259875,0.214875
0.0,1.2595,0.214875
0.0,1.259375,0.215
0.0,1.259375,0.215
0.0,1.259875,0.215
0.0,1.26025,0.215
0.0,1.259875,0.215
0.0,1.259625,0.215
0.0,1.25975,0.214625
0.0,1.259625,0.214625
0.0,1.259625,0.21475
0.0,1.26025,0.21475
0.0,1.260375,0.21475
0.0,1.259875,0.21475
0.0,1.25975,0.214875
0.0,1.259625,0.214875
0.0,1.26,0.215
0.0,1.260125,0.215
0.0,1.259625,0.215
0.0,1.25975,0.215
0.0,1.25975,0.215
0.0,1.26,0.215
0.0,1.26,0.214875
0.0,1.25975,0.214625
0.0,1.260125,0.21475
0.0,1.260375,0.21475
0.0,1.260375,0.21475
0.0,1.2605,0.21475
0.0,1.2605,0.21475
0.0,1.260375,0.214625
0.0,1.26025,0.214875
0.0,1.25975,0.215
0.0,1.26,0.215
0.0,1.260125,0.214875
0.0,1.259625,0.215
0.0,1.25925,0.215125
0.0,1.259625,0.215125
0.0,1.260125,0.214875
0.0,1.260375,0.214875
1.0,1.274,0.23825
1.0,1.274125,0.23825
1.0,1.274,0.238375
1.0,1.273875,0.238375
1.0,1.273875,0.238375
1.0,1.273875,0.2385
1.0,1.274125,0.2385
1.0,1.274375,0.238375
1.0,1.274375,0.238375
1.0,1.274625,0.23825
1.0,1.274,0.238375
1.0,1.27425,0.23825
1.0,1.2745,0.238125
1.0,1.27475,0.23825
1.0,1.275,0.238375
1.0,1.2745,0.2385
1.0,1.274,0.2385
1.0,1.274,0.238375
1.0,1.27425,0.238375
1.0,1.273875,0.238375
1.0,1.27375,0.23825
1.0,1.27425,0.238375
1.0,1.274125,0.23825
1.0,1.274,0.238375
1.0,1.274125,0.238375
1.0,1.274125,0.238375
1.0,1.274,0.23825
1.0,1.27425,0.238375
1.0,1.274625,0.23825
1.0,1.2745,0.23825
1.0,1.275,0.238375
1.0,1.274875,0.23825
1.0,1.2745,0.238375
1.0,1.274,0.238375
1.0,1.27425,0.238375
1.0,1.27425,0.238375
1.0,1.273625,0.238375
1.0,1.273625,0.238375
1.0,1.27375,0.2385
1.0,1.274375,0.2385
1.0,1.27425,0.238375
1.0,1.27425,0.238375
1.0,1.274375,0.238375
1.0,1.274625,0.238125
1.0,1.274375,0.23825
1.0,1.2745,0.23825
1.0,1.2745,0.23825
1.0,1.27475,0.23825
1.0,1.2745,0.23825
1.0,1.273875,0.238375
1.0,1.273625,0.23825
1.0,1.274125,0.238375
1.0,1.273875,0.238375
1.0,1.273625,0.238375
1.0,1.273875,0.238375
1.0,1.274,0.238625
1.0,1.274375,0.238375
1.0,1.2745,0.238375
1.0,1.2745,0.238375
1.0,1.274125,0.23825
1.0,1.274,0.238125
1.0,1.274125,0.23825
1.0,1.27425,0.238375
1.0,1.274625,0.238375
1.0,1.274375,0.238375
1.0,1.273625,0.2385
1.0,1.273625,0.238375
1.0,1.27375,0.23825
1.0,1.274,0.23825
1.0,1.273875,0.238375
1.0,1.27375,0.238375
