#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-21 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,1.161625,0.132875
0.0,1.161875,0.13275
0.0,1.162,0.132625
0.0,1.16175,0.132375
0.0,1.16225,0.132375
0.0,1.162625,0.1325
0.0,1.16225,0.132375
0.0,1.162125,0.13225
0.0,1.162125,0.13225
0.0,1.16225,0.132375
0.0,1.16225,0.132625
0.0,1.16225,0.132625
0.0,1.162125,0.1325
0.0,1.162,0.132625
0.0,1.162,0.13275
0.0,1.162125,0.13275
0.0,1.162,0.13275
0.0,1.161625,0.13275
0.0,1.161875,0.132625
0.0,1.16225,0.1325
0.0,1.162,0.132375
0.0,1.162125,0.132375
0.0,1.1625,0.13225
0.0,1.1625,0.13225
0.0,1.162625,0.132375
0.0,1.162625,0.132375
0.0,1.16225,0.132375
0.0,1.162,0.132625
0.0,1.162125,0.132625
0.0,1.162125,0.1325
0.0,1.161625,0.1325
0.0,1.162,0.132625
0.0,1.162125,0.132625
0.0,1.16225,0.132625
0.0,1.162375,0.1325
0.0,1.162125,0.132375
0.0,1.162,0.1325
0.0,1.16175,0.132375
0.0,1.162125,0.132375
0.0,1.16225,0.1325
0.0,1.162125,0.1325
0.0,1.162125,0.1325
0.0,1.161625,0.132375
0.0,1.161625,0.132375
0.0,1.162,0.132375
0.0,1.162,0.132625
0.0,1.161875,0.132625
0.0,1.161875,0.132625
0.0,1.16175,0.132625
0.0,1.161875,0.132625
0.0,1.162375,0.13275
0.0,1.162375,0.13275
0.0,1.162,0.1325
0.0,1.161875,0.1325
0.0,1.16175,0.13225
0.0,1.1625,0.132375
0.0,1.162875,0.132375
0.0,1.162875,0.132375
0.0,1.1625,0.132375
0.0,1.162,0.132625
0.0,1.161625,0.13275
0.0,1.16175,0.13275
0.0,1.1615,0.132625
0.0,1.160875,0.13275
0.0,1.161375,0.13275
0.0,1.16175,0.132625
0.0,1.161625,0.13275
0.0,1.16125,0.132875
0.0,1.16175,0.132625
0.0,1.162,0.132375
0.0,1.1615,0.132375
0.0,1.162,0.1325
0.0,1.162375,0.1325
0.0,1.162375,0.1325
0.0,1.1625,0.132375
0.0,1.162,0.1325
0.0,1.16175,0.132625
0.0,1.16175,0.132625
0.0,1.162,0.132625
0.0,1.16225,0.1325
0.0,1.161875,0.132625
0.0,1.161625,0.132625
0.0,1.162125,0.132625
