#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~~~~~~ RAPP measurements | INTI ~~~~~~~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1,NORM
0.0,0.94075,0.23825,0.000323409913
0.0,0.940875,0.238,0.000323409913
0.0,0.94075,0.237875,0.000323409913
0.0,0.94075,0.237875,0.000323409913
0.0,0.940875,0.238,0.000323409913
0.0,0.940875,0.238125,0.000323409913
0.0,0.940875,0.237875,0.000323409913
0.0,0.94125,0.237875,0.000323409913
0.0,0.94125,0.237875,0.000323409913
0.0,0.941125,0.23775,0.000323409913
0.0,0.9405,0.237875,0.000323409913
0.0,0.94025,0.237875,0.000323409913
0.0,0.9405,0.237875,0.000323409913
0.0,0.940375,0.238,0.000323409913
0.0,0.940625,0.238125,0.000323409913
0.0,0.94025,0.237875,0.000323409913
0.0,0.940375,0.238,0.000323409913
0.0,0.9405,0.238125,0.000323409913
0.0,0.941125,0.238125,0.000323409913
0.0,0.940875,0.238,0.000323409913
0.0,0.941,0.237875,0.000323409913
0.0,0.94075,0.238,0.000323409913
0.0,0.940375,0.23775,0.000323409913
0.0,0.940625,0.237625,0.000323409913
0.0,0.941125,0.237625,0.000323409913
0.0,0.941125,0.237625,0.000323409913
0.0,0.941,0.23775,0.000323409913
0.0,0.940625,0.237875,0.000323409913
0.0,0.94025,0.237625,0.000323409913
0.0,0.9405,0.237875,0.000323409913
0.0,0.9405,0.23825,0.000323409913
0.0,0.9405,0.238125,0.000323409913
0.0,0.94025,0.238125,0.000323409913
0.0,0.940125,0.23825,0.000323409913
0.0,0.941,0.23825,0.000323409913
0.0,0.940875,0.238125,0.000323409913
0.0,0.94075,0.238,0.000323409913
0.0,0.941,0.237875,0.000323409913
0.0,0.940875,0.237875,0.000323409913
0.0,0.941,0.238,0.000323409913
0.0,0.94125,0.238,0.000323409913
0.0,0.94125,0.23775,0.000323409913
0.0,0.941125,0.23775,0.000323409913
0.0,0.941,0.23775,0.000323409913
0.0,0.9405,0.237875,0.000323409913
0.0,0.940375,0.238125,0.000323409913
0.0,0.94075,0.237875,0.000323409913
0.0,0.94075,0.238,0.000323409913
0.0,0.9405,0.238,0.000323409913
0.0,0.9405,0.23825,0.000323409913
0.0,0.940625,0.238375,0.000323409913
0.0,0.94075,0.23825,0.000323409913
0.0,0.940875,0.238,0.000323409913
0.0,0.940875,0.238,0.000323409913
0.0,0.9405,0.237875,0.000323409913
0.0,0.940375,0.23775,0.000323409913
0.0,0.94075,0.23775,0.000323409913
0.0,0.94075,0.23775,0.000323409913
0.0,0.941,0.237875,0.000323409913
0.0,0.94075,0.23775,0.000323409913
0.0,0.940625,0.237875,0.000323409913
