#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~~~~~~ RAPP measurements | INTI ~~~~~~~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1,NORM
0.0,0.939625,0.2385,0.000323687942
0.0,0.939875,0.238375,0.000323687942
0.0,0.939875,0.23825,0.000323687942
0.0,0.94,0.238125,0.000323687942
0.0,0.940125,0.238,0.000323687942
0.0,0.940125,0.238125,0.000323687942
0.0,0.9405,0.237875,0.000323687942
0.0,0.940125,0.23775,0.000323687942
0.0,0.940125,0.23775,0.000323687942
0.0,0.939875,0.23775,0.000323687942
0.0,0.93975,0.237875,0.000323687942
0.0,0.94,0.23825,0.000323687942
0.0,0.94,0.23825,0.000323687942
0.0,0.94025,0.238125,0.000323687942
0.0,0.939875,0.238125,0.000323687942
0.0,0.939875,0.238125,0.000323687942
0.0,0.9395,0.23825,0.000323687942
0.0,0.93975,0.238375,0.000323687942
0.0,0.939875,0.238375,0.000323687942
0.0,0.940125,0.238125,0.000323687942
0.0,0.93975,0.237875,0.000323687942
0.0,0.93975,0.237875,0.000323687942
0.0,0.94025,0.238,0.000323687942
0.0,0.94,0.238,0.000323687942
0.0,0.93975,0.238,0.000323687942
0.0,0.93975,0.238,0.000323687942
0.0,0.94,0.23775,0.000323687942
0.0,0.939625,0.238,0.000323687942
0.0,0.939625,0.238125,0.000323687942
0.0,0.939375,0.237875,0.000323687942
0.0,0.93975,0.237875,0.000323687942
0.0,0.939625,0.238125,0.000323687942
0.0,0.939375,0.23825,0.000323687942
0.0,0.939625,0.23825,0.000323687942
0.0,0.94,0.238375,0.000323687942
0.0,0.939875,0.238125,0.000323687942
0.0,0.93975,0.237875,0.000323687942
0.0,0.940125,0.238125,0.000323687942
0.0,0.94,0.238,0.000323687942
0.0,0.94,0.238,0.000323687942
0.0,0.940125,0.238,0.000323687942
0.0,0.940125,0.238,0.000323687942
0.0,0.940125,0.238,0.000323687942
0.0,0.939625,0.238,0.000323687942
0.0,0.93975,0.238,0.000323687942
0.0,0.939875,0.238,0.000323687942
0.0,0.94,0.23825,0.000323687942
0.0,0.939875,0.238125,0.000323687942
0.0,0.939375,0.238125,0.000323687942
0.0,0.9395,0.238375,0.000323687942
0.0,0.939875,0.238375,0.000323687942
0.0,0.940125,0.23825,0.000323687942
0.0,0.940125,0.238125,0.000323687942
