#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-23 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,1.158,0.40425
0.0,1.158,0.40425
0.0,1.157625,0.40425
0.0,1.157,0.404375
0.0,1.15725,0.40425
0.0,1.157625,0.404375
0.0,1.157625,0.404375
0.0,1.156875,0.404375
0.0,1.156875,0.404375
0.0,1.157125,0.404375
0.0,1.157625,0.4045
0.0,1.1575,0.4045
0.0,1.15725,0.4045
0.0,1.15725,0.40425
0.0,1.15725,0.40425
0.0,1.1575,0.40425
0.0,1.157625,0.404
0.0,1.15775,0.404125
0.0,1.157625,0.404125
0.0,1.157375,0.404375
0.0,1.157625,0.404375
0.0,1.15775,0.404375
0.0,1.157625,0.4045
0.0,1.1575,0.4045
0.0,1.15725,0.4045
0.0,1.15725,0.4045
0.0,1.1575,0.40475
0.0,1.158125,0.404625
0.0,1.158125,0.404625
0.0,1.158125,0.404625
0.0,1.158125,0.4045
0.0,1.1575,0.40425
0.0,1.157625,0.404125
0.0,1.157875,0.40425
0.0,1.15775,0.40425
0.0,1.157625,0.404125
0.0,1.157125,0.40425
0.0,1.157125,0.40425
0.0,1.15725,0.404375
0.0,1.15725,0.4045
0.0,1.15725,0.404375
0.0,1.15725,0.404375
0.0,1.157625,0.4045
0.0,1.15775,0.40475
0.0,1.15775,0.404625
0.0,1.1575,0.404625
0.0,1.1575,0.40475
0.0,1.157625,0.404375
0.0,1.157625,0.404
0.0,1.158,0.40425
0.0,1.158,0.404125
0.0,1.157875,0.403875
0.0,1.157625,0.404
0.0,1.157125,0.404125
0.0,1.157,0.4045
0.0,1.1575,0.404625
0.0,1.1575,0.404375
0.0,1.1575,0.404375
0.0,1.15725,0.40425
0.0,1.1575,0.40425
0.0,1.15775,0.4045
0.0,1.15775,0.404375
0.0,1.157875,0.4045
0.0,1.157875,0.404375
0.0,1.157875,0.404125
0.0,1.158125,0.404125
0.0,1.1585,0.404125
0.0,1.1585,0.404
0.0,1.15825,0.404125
0.0,1.157875,0.404
0.0,1.157375,0.404125
0.0,1.157375,0.40425
0.0,1.15775,0.404375
0.0,1.15775,0.404375
0.0,1.157125,0.404375
0.0,1.157,0.4045
0.0,1.157125,0.4045
0.0,1.157625,0.40475
0.0,1.157375,0.40475
0.0,1.157375,0.40475
0.0,1.15775,0.4045
0.0,1.15775,0.404125
0.0,1.158,0.40425
0.0,1.158125,0.40425
0.0,1.15825,0.4045
0.0,1.158,0.404375
0.0,1.158125,0.40425
0.0,1.157625,0.4045
0.0,1.157375,0.404625
0.0,1.157375,0.404625
0.0,1.1575,0.4045
0.0,1.1575,0.4045
0.0,1.15725,0.4045
0.0,1.157125,0.40475
0.0,1.1575,0.40475
0.0,1.157375,0.4045
0.0,1.157375,0.404
0.0,1.1575,0.404125
0.0,1.1575,0.40425
0.0,1.15825,0.404125
0.0,1.15825,0.404375
0.0,1.157875,0.404125
0.0,1.157625,0.404125
0.0,1.157375,0.4045
0.0,1.15725,0.404625
0.0,1.15725,0.404625
0.0,1.157125,0.4045
0.0,1.15725,0.4045
0.0,1.157375,0.4045
0.0,1.157375,0.4045
0.0,1.157875,0.404625
0.0,1.158125,0.404625
0.0,1.157875,0.404625
0.0,1.15775,0.404375
0.0,1.157625,0.404375
0.0,1.157625,0.40425
0.0,1.15825,0.404125
0.0,1.1585,0.404125
0.0,1.15825,0.404125
0.0,1.158,0.404375
0.0,1.1575,0.404375
0.0,1.1575,0.40425
0.0,1.1575,0.40425
0.0,1.157875,0.404375
0.0,1.158,0.4045
0.0,1.15725,0.4045
0.0,1.15725,0.4045
0.0,1.15775,0.404625
0.0,1.1575,0.404375
0.0,1.157625,0.404375
0.0,1.158,0.4045
0.0,1.157625,0.40425
0.0,1.1575,0.404125
0.0,1.158125,0.40425
0.0,1.15825,0.404125
0.0,1.15825,0.404
0.0,1.158,0.4045
0.0,1.1575,0.404375
0.0,1.1575,0.404375
0.0,1.157625,0.404375
0.0,1.15775,0.404375
0.0,1.1575,0.404375
0.0,1.157625,0.4045
0.0,1.15775,0.404625
0.0,1.158125,0.404625
0.0,1.158,0.4045
0.0,1.15825,0.404375
0.0,1.158125,0.404
0.0,1.157625,0.404
0.0,1.157875,0.404
0.0,1.15825,0.404125
0.0,1.158625,0.404125
0.0,1.158625,0.40425
0.0,1.15775,0.404375
0.0,1.15775,0.404375
0.0,1.157375,0.404125
0.0,1.1575,0.40425
0.0,1.158,0.4045
0.0,1.157875,0.4045
0.0,1.157375,0.4045
0.0,1.15775,0.4045
0.0,1.15775,0.4045
0.0,1.1575,0.404625
0.0,1.1575,0.404625
0.0,1.157375,0.404375
0.0,1.158,0.40425
0.0,1.158125,0.40425
0.0,1.158375,0.40425
0.0,1.15825,0.40425
1.0,1.22,0.367125
1.0,1.220125,0.367375
1.0,1.22,0.3675
1.0,1.219625,0.3675
1.0,1.22,0.367375
1.0,1.220375,0.36775
1.0,1.22075,0.36775
1.0,1.2205,0.3675
1.0,1.2205,0.3675
1.0,1.22075,0.367375
1.0,1.22075,0.367375
1.0,1.2205,0.367125
1.0,1.221125,0.36725
1.0,1.221,0.367125
1.0,1.2205,0.36725
1.0,1.2205,0.36725
1.0,1.2205,0.367375
1.0,1.219875,0.367625
1.0,1.219875,0.367375
1.0,1.22025,0.367375
1.0,1.220125,0.3675
1.0,1.22,0.367625
1.0,1.2205,0.367625
1.0,1.22025,0.367375
1.0,1.220125,0.3675
1.0,1.220125,0.3675
1.0,1.220375,0.36725
1.0,1.22,0.367125
1.0,1.22025,0.367125
1.0,1.22075,0.36725
1.0,1.2205,0.36725
1.0,1.2205,0.36725
1.0,1.220625,0.3675
1.0,1.22,0.3675
1.0,1.219875,0.36725
1.0,1.22,0.367625
1.0,1.22025,0.367625
1.0,1.220125,0.367375
1.0,1.220125,0.3675
1.0,1.220625,0.367375
1.0,1.220625,0.36725
1.0,1.220625,0.36725
1.0,1.22025,0.367125
1.0,1.220875,0.36725
1.0,1.220625,0.367125
1.0,1.2205,0.36725
1.0,1.220625,0.367125
1.0,1.220375,0.367125
1.0,1.220125,0.367125
1.0,1.220125,0.366875
1.0,1.220125,0.366875
1.0,1.219875,0.366875
1.0,1.219875,0.367375
1.0,1.219875,0.3675
1.0,1.21975,0.367375
1.0,1.219875,0.367375
1.0,1.220375,0.3675
1.0,1.220375,0.3675
1.0,1.2205,0.367625
1.0,1.220125,0.367375
1.0,1.22025,0.367125
1.0,1.2205,0.367375
1.0,1.22075,0.36725
1.0,1.22075,0.367
1.0,1.22075,0.36725
1.0,1.220625,0.367375
1.0,1.22025,0.367375
1.0,1.220125,0.36725
1.0,1.22025,0.367375
1.0,1.22,0.3675
1.0,1.219875,0.367375
1.0,1.220125,0.367625
1.0,1.220625,0.3675
1.0,1.220625,0.3675
1.0,1.22075,0.367375
1.0,1.22075,0.367125
1.0,1.2205,0.367375
1.0,1.220375,0.36725
1.0,1.220375,0.367125
1.0,1.2205,0.367125
1.0,1.22075,0.367
1.0,1.220875,0.367125
1.0,1.22025,0.367125
1.0,1.219875,0.36725
1.0,1.220375,0.367375
1.0,1.220375,0.36725
1.0,1.220375,0.367375
1.0,1.22025,0.3675
1.0,1.220125,0.367625
1.0,1.2205,0.367625
1.0,1.2205,0.3675
1.0,1.22075,0.3675
1.0,1.221125,0.3675
1.0,1.221,0.3675
1.0,1.220625,0.36725
1.0,1.2205,0.36725
1.0,1.22075,0.36725
1.0,1.22125,0.367125
1.0,1.221,0.367125
1.0,1.2205,0.367375
1.0,1.22,0.367375
1.0,1.220375,0.367375
1.0,1.2205,0.367375
1.0,1.22025,0.3675
1.0,1.220375,0.3675
1.0,1.22025,0.3675
1.0,1.22025,0.3675
1.0,1.2205,0.367625
1.0,1.220625,0.367625
1.0,1.220625,0.3675
1.0,1.220625,0.367
1.0,1.220375,0.367
1.0,1.2205,0.36725
1.0,1.220625,0.36725
1.0,1.22075,0.367125
1.0,1.220875,0.36725
1.0,1.220625,0.36725
1.0,1.22025,0.3675
1.0,1.22025,0.3675
1.0,1.2205,0.3675
1.0,1.220125,0.367375
1.0,1.220375,0.367625
1.0,1.220375,0.367625
1.0,1.220625,0.36775
1.0,1.220875,0.367875
1.0,1.220875,0.367875
1.0,1.2205,0.3675
1.0,1.2205,0.367125
1.0,1.22075,0.36725
1.0,1.221,0.367125
1.0,1.220875,0.367125
1.0,1.22025,0.367125
1.0,1.220125,0.36725
1.0,1.22,0.367375
1.0,1.220125,0.367375
