#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
#~~~~~~~~~ RAPP measurements | INTI 2024-05-23 ~~~~~~~~#
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#
ANGLE,CH0,CH1
0.0,1.157625,0.404
0.0,1.15775,0.403875
0.0,1.158,0.403625
0.0,1.1575,0.40375
0.0,1.157125,0.403875
0.0,1.1575,0.404
0.0,1.1575,0.404125
0.0,1.15725,0.404
0.0,1.15725,0.404
0.0,1.157,0.404
0.0,1.15725,0.404125
0.0,1.157375,0.40425
0.0,1.1575,0.404125
0.0,1.157875,0.404125
0.0,1.157625,0.40375
0.0,1.15725,0.40375
0.0,1.157625,0.40375
0.0,1.1575,0.40375
0.0,1.157875,0.40375
0.0,1.158,0.40375
0.0,1.157375,0.40375
0.0,1.157,0.403875
0.0,1.15725,0.404125
0.0,1.157125,0.404375
0.0,1.156875,0.404375
0.0,1.156875,0.40425
0.0,1.156625,0.404125
0.0,1.157,0.40425
0.0,1.157625,0.40425
0.0,1.15775,0.40425
0.0,1.157625,0.404
0.0,1.157375,0.40375
0.0,1.1575,0.404
0.0,1.157875,0.404
0.0,1.1585,0.403875
0.0,1.15825,0.40375
0.0,1.1575,0.403875
0.0,1.157125,0.404125
0.0,1.157125,0.40425
0.0,1.157,0.40425
0.0,1.157,0.404375
0.0,1.157,0.404375
0.0,1.15675,0.40425
0.0,1.15675,0.404375
0.0,1.15675,0.40425
0.0,1.156625,0.40425
0.0,1.1565,0.404375
0.0,1.15725,0.404125
0.0,1.157875,0.404
0.0,1.15775,0.403875
0.0,1.157875,0.403875
0.0,1.15825,0.40375
0.0,1.15825,0.403875
0.0,1.15775,0.404
0.0,1.157625,0.404
0.0,1.157375,0.404
0.0,1.15725,0.404125
0.0,1.15725,0.404125
0.0,1.157125,0.404375
0.0,1.157125,0.4045
0.0,1.15725,0.4045
0.0,1.15775,0.404375
0.0,1.15775,0.404375
0.0,1.1575,0.4045
0.0,1.15775,0.404125
0.0,1.1575,0.404
0.0,1.157625,0.403875
0.0,1.157875,0.403875
0.0,1.15775,0.403875
0.0,1.158,0.403875
0.0,1.157625,0.404125
0.0,1.15725,0.404125
0.0,1.157375,0.404125
0.0,1.157375,0.404125
0.0,1.157125,0.40425
0.0,1.157,0.40425
